"download_key","class","user","email","format","status","created","downloadLink","doi","citation"
"0012769-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T09:38:52.954+00:00","https://api.gbif.org/v1/occurrence/download/request/0012769-240626123714530.zip","10.15468/dl.kqj378","GBIF Occurrence Download https://doi.org/10.15468/dl.kqj378 Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012770-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T09:38:55.232+00:00","https://api.gbif.org/v1/occurrence/download/request/0012770-240626123714530.zip","10.15468/dl.mt2dwr","GBIF Occurrence Download https://doi.org/10.15468/dl.mt2dwr Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012791-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T09:48:32.610+00:00","https://api.gbif.org/v1/occurrence/download/request/0012791-240626123714530.zip","10.15468/dl.5ehge3","GBIF Occurrence Download https://doi.org/10.15468/dl.5ehge3 Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012792-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T09:48:34.950+00:00","https://api.gbif.org/v1/occurrence/download/request/0012792-240626123714530.zip","10.15468/dl.pfexjt","GBIF Occurrence Download https://doi.org/10.15468/dl.pfexjt Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012793-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T09:48:37.289+00:00","https://api.gbif.org/v1/occurrence/download/request/0012793-240626123714530.zip","10.15468/dl.3sf2xx","GBIF Occurrence Download https://doi.org/10.15468/dl.3sf2xx Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012811-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T10:01:16.872+00:00","https://api.gbif.org/v1/occurrence/download/request/0012811-240626123714530.zip","10.15468/dl.rw4nbv","GBIF Occurrence Download https://doi.org/10.15468/dl.rw4nbv Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012812-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T10:01:23.551+00:00","https://api.gbif.org/v1/occurrence/download/request/0012812-240626123714530.zip","10.15468/dl.9xdwdh","GBIF Occurrence Download https://doi.org/10.15468/dl.9xdwdh Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012813-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T10:01:25.847+00:00","https://api.gbif.org/v1/occurrence/download/request/0012813-240626123714530.zip","10.15468/dl.tkk7gt","GBIF Occurrence Download https://doi.org/10.15468/dl.tkk7gt Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012824-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T10:17:09.282+00:00","https://api.gbif.org/v1/occurrence/download/request/0012824-240626123714530.zip","10.15468/dl.vqgjfp","GBIF Occurrence Download https://doi.org/10.15468/dl.vqgjfp Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012825-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T10:17:13.842+00:00","https://api.gbif.org/v1/occurrence/download/request/0012825-240626123714530.zip","10.15468/dl.vbhtqp","GBIF Occurrence Download https://doi.org/10.15468/dl.vbhtqp Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012826-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T10:17:16.580+00:00","https://api.gbif.org/v1/occurrence/download/request/0012826-240626123714530.zip","10.15468/dl.8uz93e","GBIF Occurrence Download https://doi.org/10.15468/dl.8uz93e Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012838-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T10:27:27.432+00:00","https://api.gbif.org/v1/occurrence/download/request/0012838-240626123714530.zip","10.15468/dl.4yxw9w","GBIF Occurrence Download https://doi.org/10.15468/dl.4yxw9w Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012839-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T10:27:29.602+00:00","https://api.gbif.org/v1/occurrence/download/request/0012839-240626123714530.zip","10.15468/dl.7gce2g","GBIF Occurrence Download https://doi.org/10.15468/dl.7gce2g Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012840-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T10:27:31.834+00:00","https://api.gbif.org/v1/occurrence/download/request/0012840-240626123714530.zip","10.15468/dl.4cyd8y","GBIF Occurrence Download https://doi.org/10.15468/dl.4cyd8y Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012849-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T10:36:46.309+00:00","https://api.gbif.org/v1/occurrence/download/request/0012849-240626123714530.zip","10.15468/dl.esdv6k","GBIF Occurrence Download https://doi.org/10.15468/dl.esdv6k Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012850-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T10:36:48.531+00:00","https://api.gbif.org/v1/occurrence/download/request/0012850-240626123714530.zip","10.15468/dl.3keatk","GBIF Occurrence Download https://doi.org/10.15468/dl.3keatk Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012851-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T10:36:50.791+00:00","https://api.gbif.org/v1/occurrence/download/request/0012851-240626123714530.zip","10.15468/dl.w67nbf","GBIF Occurrence Download https://doi.org/10.15468/dl.w67nbf Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012859-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T10:45:58.478+00:00","https://api.gbif.org/v1/occurrence/download/request/0012859-240626123714530.zip","10.15468/dl.ut5ukn","GBIF Occurrence Download https://doi.org/10.15468/dl.ut5ukn Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012860-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T10:46:01.019+00:00","https://api.gbif.org/v1/occurrence/download/request/0012860-240626123714530.zip","10.15468/dl.c6d5qy","GBIF Occurrence Download https://doi.org/10.15468/dl.c6d5qy Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012861-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T10:46:03.340+00:00","https://api.gbif.org/v1/occurrence/download/request/0012861-240626123714530.zip","10.15468/dl.ve497p","GBIF Occurrence Download https://doi.org/10.15468/dl.ve497p Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012876-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T10:57:12.992+00:00","https://api.gbif.org/v1/occurrence/download/request/0012876-240626123714530.zip","10.15468/dl.zzpfk3","GBIF Occurrence Download https://doi.org/10.15468/dl.zzpfk3 Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012877-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T10:57:15.527+00:00","https://api.gbif.org/v1/occurrence/download/request/0012877-240626123714530.zip","10.15468/dl.u7y3du","GBIF Occurrence Download https://doi.org/10.15468/dl.u7y3du Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012878-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T10:57:17.936+00:00","https://api.gbif.org/v1/occurrence/download/request/0012878-240626123714530.zip","10.15468/dl.x69awk","GBIF Occurrence Download https://doi.org/10.15468/dl.x69awk Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012889-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T11:07:10.767+00:00","https://api.gbif.org/v1/occurrence/download/request/0012889-240626123714530.zip","10.15468/dl.wmkr7c","GBIF Occurrence Download https://doi.org/10.15468/dl.wmkr7c Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012890-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T11:07:15.395+00:00","https://api.gbif.org/v1/occurrence/download/request/0012890-240626123714530.zip","10.15468/dl.3t27sx","GBIF Occurrence Download https://doi.org/10.15468/dl.3t27sx Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012891-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T11:07:20.538+00:00","https://api.gbif.org/v1/occurrence/download/request/0012891-240626123714530.zip","10.15468/dl.f7gmjy","GBIF Occurrence Download https://doi.org/10.15468/dl.f7gmjy Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012906-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T11:16:37.567+00:00","https://api.gbif.org/v1/occurrence/download/request/0012906-240626123714530.zip","10.15468/dl.ms7fbn","GBIF Occurrence Download https://doi.org/10.15468/dl.ms7fbn Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
"0012907-240626123714530","occ_download","ajhelmstetter","andrew.j.helmstetter@gmail.com","SIMPLE_CSV","PREPARING","2024-07-05T11:16:44.592+00:00","https://api.gbif.org/v1/occurrence/download/request/0012907-240626123714530.zip","10.15468/dl.uk2bew","GBIF Occurrence Download https://doi.org/10.15468/dl.uk2bew Accessed from R via rgbif (https://github.com/ropensci/rgbif) on 2024-07-05"
